q,tail,pair,lambda_calm,lambda_stress,difference,diff_lo,diff_hi,p_value,sig_uncorrected_5pct,diff_lo_bonf60,diff_hi_bonf60,sig_bonferroni_m60,sig_FDR_BH_5pct,bh_cutoff_p_used
0.025,lower,Cocoa–Gold,0.03011,0.22923,0.19912,-0.07527,0.42834,0.98603,False,-0.11731,0.45845,False,False,-1.0
0.025,lower,Cocoa–Brent,0.09033,0.11461,0.02429,-0.15055,0.26857,0.9501,False,-0.19258,0.4039,False,False,-1.0
0.025,lower,Cocoa–WTI,0.09033,0.11461,0.02429,-0.15055,0.29868,0.93014,False,-0.18065,0.45071,False,False,-1.0
0.025,lower,Cocoa–Cedi,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.11461,False,False,-1.0
0.025,lower,Gold–Brent,0.06022,0.0,-0.06022,-0.12044,0.15395,0.17565,False,-0.14742,0.39259,False,False,-1.0
0.025,lower,Gold–WTI,0.06022,0.0,-0.06022,-0.10538,0.26857,0.46307,False,-0.15934,0.4865,False,False,-1.0
0.025,lower,Gold–Cedi,0.01505,0.0,-0.01505,-0.04516,0.0,0.7984,False,-0.07527,0.0,False,False,-1.0
0.025,lower,Brent–WTI,0.67746,0.68768,0.01022,-0.30933,0.26241,0.87824,False,-0.54468,0.39297,False,False,-1.0
0.025,lower,Brent–Cedi,0.01505,0.0,-0.01505,-0.05307,0.0,0.63074,False,-0.0872,0.0,False,False,-1.0
0.025,lower,WTI–Cedi,0.0,0.0,0.0,-0.03011,0.0,1.0,False,-0.04516,0.0,False,False,-1.0
0.025,upper,Cocoa–Gold,0.03011,0.0,-0.03011,-0.07527,0.0,0.2475,False,-0.10538,0.0,False,False,-1.0
0.025,upper,Cocoa–Brent,0.03011,0.0,-0.03011,-0.07527,0.18406,0.43912,False,-0.10538,0.44027,False,False,-1.0
0.025,upper,Cocoa–WTI,0.03011,0.0,-0.03011,-0.07527,0.0,0.26347,False,-0.10538,0.21104,False,False,-1.0
0.025,upper,Cocoa–Cedi,0.01505,0.0,-0.01505,-0.06022,0.0,0.73054,False,-0.07214,0.0,False,False,-1.0
0.025,upper,Gold–Brent,0.06022,0.0,-0.06022,-0.12044,-0.01505,0.03194,True,-0.15055,0.16903,False,False,-1.0
0.025,upper,Gold–WTI,0.07527,0.0,-0.07527,-0.13549,-0.01505,0.01597,True,-0.18945,0.01924,False,False,-1.0
0.025,upper,Gold–Cedi,0.03011,0.0,-0.03011,-0.07527,0.0,0.36727,False,-0.10225,0.0,False,False,-1.0
0.025,upper,Brent–WTI,0.72262,0.45845,-0.26417,-0.50845,0.09473,0.19561,False,-0.66196,0.28253,False,False,-1.0
0.025,upper,Brent–Cedi,0.01505,0.11461,0.09956,-0.04516,0.34384,0.6986,False,-0.07527,0.45532,False,False,-1.0
0.025,upper,WTI–Cedi,0.01505,0.11461,0.09956,-0.06022,0.34384,0.65469,False,-0.09033,0.56994,False,False,-1.0
0.05,lower,Cocoa–Gold,0.0828,0.11461,0.03181,-0.12044,0.21521,0.82635,False,-0.15494,0.29324,False,False,-1.0
0.05,lower,Cocoa–Brent,0.13549,0.11461,-0.02088,-0.14302,0.18868,0.94611,False,-0.19101,0.2664,False,False,-1.0
